"Country","combined figures (kg/capita/year)","Household estimate (kg/capita/year)","Household estimate (tonnes/year)","Retail estimate (kg/capita/year)","Retail estimate (tonnes/year)","Food service estimate (kg/capita/year)","Food service estimate (tonnes/year)","M49 code","Region","Source"
"DEM. PEOPLE'S REP. KOREA",125,81,2070528,16,401425,28,709621,408,"EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2031"
"DEM. REP. OF THE CONGO",147,103,8912903,16,1357425,28,2399593,180,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2188"
"DENMARK",132,81,469449,30,172003,21,119134,208,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2119"
"DJIBOUTI",144,100,96962,16,15227,28,26918,262,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2189"
"DOMINICA",116,72,5201,16,1123,28,1985,212,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2062"
"DOMINICAN REPUBLIC",116,72,777849,16,167960,28,296913,214,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2063"
"ECUADOR",116,72,1258415,16,271729,28,480349,218,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2064"
"EGYPT",135,91,9136941,16,1570093,28,2775538,818,"NORTHERN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2108"
"EL SALVADOR",124,80,516828,16,100936,28,178430,222,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2065"
"EQUATORIAL GUINEA",136,92,124670,16,21208,28,37491,226,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2190"
"ERITREA",147,103,359132,16,54695,28,96688,232,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2191"
"ESTONIA",100,78,102743,5,6243,17,22013,233,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2120"
"ESWATINI",144,100,114341,16,17957,28,31743,748,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2192"
"ETHIOPIA",136,92,10327236,16,1752936,28,3098760,231,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2193"
"FAROE ISLANDS",115,76,3710,13,624,26,1245,234,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2121"
"FIJI",120,76,67385,16,13920,28,24607,242,"MELANESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2095"
"FINLAND",101,65,361937,13,70875,23,128927,246,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2122"
"FRANCE",135,85,5522358,26,1667568,24,1594579,250,"WESTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2247"
"FRENCH POLYNESIA",118,79,21978,13,3578,26,7142,258,"POLYNESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2133"
"GABON",136,92,199748,16,33980,28,60068,266,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2194"
"GAMBIA",147,103,241095,16,36719,28,64909,270,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2195"
"GEORGIA",145,101,403573,16,62511,28,110504,268,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2231"
"GERMANY",102,75,6263775,6,498244,21,1718433,276,"WESTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2248"
"GHANA",128,84,2555332,16,475743,28,840996,288,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2196"
"GIBRALTAR",123,84,2840,13,432,26,862,292,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2164"
"GREECE",175,142,1483996,7,77332,26,267812,300,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2165"
"GREENLAND",113,74,4178,13,726,26,1450,304,"NORTHERN AMERICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2116"
"GRENADA",116,72,8112,16,1752,28,3097,308,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2068"
"GUAM",118,79,13165,13,2143,26,4278,316,"MICRONESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2100"
"GUATEMALA",116,72,1273466,16,274979,28,486095,320,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2070"
"GUINEA",147,103,1311530,16,199744,28,353099,324,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2197"
"GUINEA-BISSAU",147,103,197266,16,30043,28,53109,624,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2198"
"GUYANA",116,72,56700,16,12243,28,21643,328,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2071"
"HAITI",127,83,936940,16,176157,28,311403,332,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2072"
"HONDURAS",124,80,780504,16,152431,28,269461,340,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2073"
"HUNGARY",133,94,908669,13,124074,26,247642,348,"EASTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2038"
"ICELAND",115,76,25827,13,4343,26,8668,352,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2123"
"INDIA",94,50,68760163,16,21371087,28,37778821,356,"SOUTHERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2154"
"INDONESIA",121,77,20938252,16,4232646,28,7482277,360,"SOUTH-EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2142"
"IRAN (ISLAMIC REPUBLIC OF)",115,71,5884842,16,1296792,28,2292410,364,"SOUTHERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2155"
"IRAQ",164,120,4734434,16,614814,28,1086840,368,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2232"
"IRELAND",124,55,267073,13,62551,56,274135,372,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2124"
"ISLE OF MAN",115,76,6445,13,1084,26,2163,833,"NORTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2125"
"ISRAEL",178,100,848395,51,437997,27,233752,376,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2233"
"ITALY",97,67,4059806,4,219552,26,1548291,380,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2167"
"JAMAICA",116,72,213552,16,46112,28,81515,388,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2074"
"JAPAN",88,64,8159891,9,1095308,15,1870735,392,"EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2032"
"JORDAN",137,93,939897,16,157993,28,279293,400,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2234"
"KAZAKHSTAN",120,76,1404584,16,290148,28,512910,398,"CENTRAL ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2023"
"KENYA",141,99,5217367,11,576411,31,1637020,404,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2199"
"KIRIBATI",135,91,10704,16,1839,28,3251,296,"MICRONESIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2101"
"KUWAIT",134,95,397706,13,53898,26,107577,414,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2235"
"KYRGYZSTAN",135,91,583951,16,100346,28,177387,417,"CENTRAL ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2024"
